strctid,blockid,parcelid,huestimate,x,y,landuse,guid,d_sf,insignific,moderate,heavy,complete
"41007020864002002S",410079507001001,20864,1,-123.903427124,46.0174980164,192,"af5771b4-4f42-4166-b772-78a3706fa8ac",1,.0367921,.4761575,.4173901,.0696604
"41007020879001001S",410079507001013,20879,1,-123.905250549,46.0172767639,140,"f1d4feff-8c78-4f78-b2a3-1092748090d1",1,.1721303,.4990261,.2953678,.0334759
"41007020880001001S",410079507001013,20880,6,-123.91091156,46.0168914795,141,"79fb269f-d51b-4a03-abc7-c1e94bdc7398",1,.1698746,.498064,.2979186,.0341428
"41007020933038001S",410079507001006,20933,1,-123.908996582,46.0143356323,191,"c840abb8-34e2-433a-b5a9-ab6236d6ed6b",1,.1680346,.4972495,.3000167,.0346993
"41007020933038002S",410079507001006,20933,1,-123.908996582,46.0143356323,193,"24f80ce4-dfb4-4dbe-893e-099d3bec9933",1,.1680346,.4972495,.3000167,.0346993
"41007020933038003S",410079507001006,20933,1,-123.908996582,46.0143356323,193,"4c6b83d9-c4ae-4fc6-805c-03e640e8f9fa",1,.1680346,.4972495,.3000167,.0346993
"41007020933038004S",410079507001006,20933,1,-123.908996582,46.0143356323,191,"4ca24a74-c28c-422b-8f3a-02a1580dd856",1,.0346371,.4673693,.4245882,.0734053
"41007020933038005S",410079507001006,20933,1,-123.908996582,46.0143356323,193,"69bf8f40-80ab-4f14-88d0-2e64c1401096",1,.1680346,.4972495,.3000167,.0346993
"41007020933038006S",410079507001006,20933,2,-123.908996582,46.0143356323,193,"bcc34a15-fc71-4710-be94-a1bd1e6f6869",1,.1680346,.4972495,.3000167,.0346993
"41007020933038007S",410079507001006,20933,2,-123.908996582,46.0143356323,191,"e02f45c9-5ffb-48d1-98c4-891ea00d3df5",1,.1680346,.4972495,.3000167,.0346993
"41007020933038008S",410079507001006,20933,1,-123.908996582,46.0143356323,193,"a346e859-60ba-4428-bd74-61018e1a97fd",1,.1680346,.4972495,.3000167,.0346993
"41007020933038009S",410079507001006,20933,1,-123.908996582,46.0143356323,193,"da7413ba-bc45-46a7-9516-9bc314d5604b",1,.1680346,.4972495,.3000167,.0346993
"41007020933038010S",410079507001006,20933,1,-123.908996582,46.0143356323,193,"f2dd60ea-d96c-4d9e-ba29-60877adf2fc5",1,.1680346,.4972495,.3000167,.0346993
"41007020933038011S",410079507001006,20933,1,-123.908996582,46.0143356323,193,"a7a3791f-57db-4557-8646-bf0b8054937b",1,.1680346,.4972495,.3000167,.0346993
"41007020933038012S",410079507001006,20933,1,-123.908996582,46.0143356323,191,"ec2a29b5-a8e5-4f60-8a7f-0d59bee3b54c",1,.1680346,.4972495,.3000167,.0346993
"41007020933038013S",410079507001006,20933,1,-123.908996582,46.0143356323,193,"ecfa3f29-ba72-41f7-8e65-8cbb4199300c",1,.1680346,.4972495,.3000167,.0346993
"41007020933038014S",410079507001006,20933,1,-123.908996582,46.0143356323,191,"dad76485-9694-409e-ac7f-c64c7bd5c32c",1,.1680346,.4972495,.3000167,.0346993
"41007020933038015S",410079507001006,20933,1,-123.908996582,46.0143356323,193,"0eb27664-2ebf-4982-b3c6-d3b4af41b44a",1,.1680346,.4972495,.3000167,.0346993
"41007020933038016S",410079507001006,20933,1,-123.908996582,46.0143356323,193,"44656106-10fc-423d-bc34-f37a947493e3",1,.1680346,.4972495,.3000167,.0346993
"41007020933038017S",410079507001006,20933,1,-123.908996582,46.0143356323,191,"6d2d8fe7-8c84-497f-b349-837a9594d94f",1,.1680346,.4972495,.3000167,.0346993
"41007020933038018S",410079507001006,20933,1,-123.908996582,46.0143356323,193,"6f57cfb6-d244-40d5-96f5-03aeddd5e30a",1,.1680346,.4972495,.3000167,.0346993
"41007020933038019S",410079507001006,20933,1,-123.908996582,46.0143356323,193,"8e885379-ac53-44c7-81bd-5314d07a7a0c",1,.0346371,.4673693,.4245882,.0734053
"41007020933038020S",410079507001006,20933,1,-123.908996582,46.0143356323,193,"defedc4a-ea47-45c6-87d5-4c374f6920e5",1,.1680346,.4972495,.3000167,.0346993
"41007020933038021S",410079507001006,20933,1,-123.908996582,46.0143356323,193,"4fa0a76a-7755-4a93-91e7-b2dde4055533",1,.1680346,.4972495,.3000167,.0346993
"41007020933038022S",410079507001006,20933,1,-123.908996582,46.0143356323,193,"f214251f-0268-4c0b-b1ff-849e69ebf3fa",1,.1680346,.4972495,.3000167,.0346993
"41007020933038023S",410079507001006,20933,1,-123.908996582,46.0143356323,191,"91378c34-8af5-4f6b-b937-84b2e9bb3b51",1,.1680346,.4972495,.3000167,.0346993
"41007020933038024S",410079507001006,20933,1,-123.908996582,46.0143356323,193,"df9c2cee-99fa-4f94-988f-72c6c50c0283",1,.1680346,.4972495,.3000167,.0346993
"41007020933038025S",410079507001006,20933,1,-123.908996582,46.0143356323,193,"efcdb2ba-67c8-4898-bb9e-52a1fe56b425",1,.1680346,.4972495,.3000167,.0346993
"41007020933038026S",410079507001006,20933,1,-123.908996582,46.0143356323,193,"113a852a-6876-4931-81f0-5158f0c70d14",1,.1680346,.4972495,.3000167,.0346993
"41007020933038027S",410079507001006,20933,1,-123.908996582,46.0143356323,193,"6a721f32-7e1f-4e3f-bc62-819f389967c4",1,.1680346,.4972495,.3000167,.0346993
"41007020933038028S",410079507001006,20933,1,-123.908996582,46.0143356323,193,"1fe3c231-aef7-4bed-b973-ca4995fd72ab",1,.1680346,.4972495,.3000167,.0346993
"41007020933038029S",410079507001006,20933,1,-123.908996582,46.0143356323,191,"f87989eb-d13f-4181-83db-19c464f9b9e6",1,.1680346,.4972495,.3000167,.0346993
"41007020933038030S",410079507001006,20933,1,-123.908996582,46.0143356323,191,"4ac0a784-57a8-4437-a8ec-c0fefb85012e",1,.1680346,.4972495,.3000167,.0346993
"41007020933038031S",410079507001006,20933,2,-123.908996582,46.0143356323,193,"fba4c73f-9b1b-4942-b7fb-bc276a4e0a4e",1,.1680346,.4972495,.3000167,.0346993
"41007020933038032S",410079507001006,20933,1,-123.908996582,46.0143356323,193,"27f82f72-cc78-4617-9f21-7770392b9638",1,.1680346,.4972495,.3000167,.0346993
"41007020933038033S",410079507001006,20933,1,-123.908996582,46.0143356323,191,"0ed927c4-b960-4b09-9cac-435a407805a4",1,.0346371,.4673693,.4245882,.0734053
"41007020933038034S",410079507001006,20933,1,-123.908996582,46.0143356323,193,"5010a2d7-6fed-4893-b2c2-072675da54aa",1,.1680346,.4972495,.3000167,.0346993
"41007020933038035S",410079507001006,20933,1,-123.908996582,46.0143356323,191,"4ce3c080-1089-4d1a-b695-41ea767f9f5d",1,.1680346,.4972495,.3000167,.0346993
"41007020933038036S",410079507001006,20933,1,-123.908996582,46.0143356323,191,"477d2d42-906a-483c-b919-d698b09f783e",1,.0346371,.4673693,.4245882,.0734053
"41007020933038037S",410079507001006,20933,1,-123.908996582,46.0143356323,191,"141070f9-097f-48de-98fa-9d2ffe3cc067",1,.1680346,.4972495,.3000167,.0346993
"41007020933038038S",410079507001006,20933,1,-123.908996582,46.0143356323,193,"c0f2214b-2074-410e-98dc-13b078603f28",1,.1680346,.4972495,.3000167,.0346993
"41007020952001001S",410079509001010,20952,2,-123.916122437,46.0138397217,121,"32911ca1-f44e-46fb-8ab4-4ad92f800360",1,.164111,.4954215,.3045432,.0359243
"41007020953001001S",410079509001000,20953,18,-123.915275574,46.0138206482,200,"a60b2a2e-1cee-47af-8913-8ae804cdef80",1,.1644898,.4956035,.304103,.0358037
"41007020956001001S",410079507001001,20956,1,-123.900245667,46.0135231018,131,"66d39314-1c68-4634-a82c-8fcb37f529ff",1,.1710947,.4985893,.296536,.0337801
"41007020959001001S",410079509001000,20959,3,-123.914405823,46.0135574341,133,"b3da85ca-e496-4e96-ad1c-d15ae1611f3a",0,.1646143,.495663,.3039586,.0357641
"41007020960001001S",410079507001025,20960,1,-123.910522461,46.013885498,450,"4a60e0bc-4959-4662-8c63-c88ff06bddc4",1,.0010341,.0532788,.394542,.5511451
"41007020961001001S",410079507001025,20961,1,-123.909934998,46.013885498,300,"cd0f3f88-9b11-4d0c-b06b-ad63377e3edc",1,.0463109,.2675254,.4427371,.2434266
"41007020964001001S",410079509001000,20964,1,-123.915016174,46.0135002136,132,"3d886d5c-86ba-4454-9b5e-621186631f4b",1,.1642648,.4954955,.3043645,.0358753
"41007020966001001S",410079507001027,20966,5,-123.910453796,46.0135765076,451,"08de0e39-7c16-42fa-9bf2-433dc3e0f2b9",0,.007579,.1683396,.5377269,.2863545
"41007020968001001S",410079507001025,20968,1,-123.910018921,46.0136489868,900,"4cbef2b6-c4ef-4b75-b264-25d254cb9138",1,.0152574,.2293597,.5383863,.2169966
"41007020969001001S",410079507001025,20969,1,-123.909576416,46.0136604309,900,"2d6bfd18-bfb7-4128-8006-5d1b8fcf4493",1,.0152957,.2296341,.5383658,.2167044
"41007020970001001S",410079507001025,20970,1,-123.910049438,46.0136795044,900,"f47064d0-b8ed-41c6-8452-72121be50c9e",1,.01526,.2293787,.5383849,.2169764
"41007020971001001S",410079509001010,20971,1,-123.91645813,46.0134239197,142,"e707e792-ace0-4b5c-b78a-4336974a35aa",1,.1635105,.4951305,.3052425,.0361166
"41007020972001001S",410079507001025,20972,1,-123.909988403,46.0136680603,900,"d136a04a-1bda-4198-abcb-250aea6f147d",1,.015263,.2294003,.5383832,.2169534
"41007020973001001S",410079509001010,20973,2,-123.915939331,46.0134277344,141,"ce668fcd-f7c1-46c0-9244-4e025b5d0073",0,.1637534,.4952485,.3049594,.0360386
"41007020974001001S",410079507001025,20974,1,-123.910049438,46.0136642456,900,"1aeaf339-a324-4fef-a9fa-902fb0058463",1,.0152573,.2293589,.5383863,.2169975
"41007020975001001S",410079507001025,20975,1,-123.909988403,46.0136528015,900,"a24d2187-1565-4d08-93f1-9361783512ed",1,.0152603,.229381,.5383847,.216974
"41007020976001001S",410079507001025,20976,1,-123.910049438,46.0136489868,900,"0dca536d-810c-431a-8789-3c6504ca85a8",1,.0152546,.2293401,.5383877,.2170176
"41007020977001001S",410079507001025,20977,1,-123.909988403,46.0136375427,900,"1f71d146-a573-49fe-8061-97d0c2731138",1,.0152577,.2293622,.5383861,.216994
"41007020978001001S",410079507001025,20978,1,-123.910041809,46.013633728,900,"1f6cb1f5-2811-41ab-9dbc-e0066c2adb7d",1,.015252,.2293212,.5383891,.2170377
"41007020979001001S",410079507001027,20979,1,-123.909561157,46.0136032104,900,"c9196b82-c67d-4f44-b4c9-d5e30de74c64",1,.0152867,.2295697,.5383707,.216773
"41007020980001001S",410079507001025,20980,1,-123.909980774,46.0136222839,900,"c8010571-8680-4446-9a30-f9181022042e",1,.0152552,.2293444,.5383874,.217013
"41007020981001001S",410079507001025,20981,1,-123.909645081,46.013633728,900,"4e7e1206-151b-4ec4-a96b-4595bd61d9cf",1,.0152853,.2295599,.5383714,.2167834
"41007020982001001S",410079507001025,20982,1,-123.910041809,46.0136184692,900,"4bea9df4-45aa-450b-a1e5-2eab91e88c86",1,.0152495,.2293031,.5383905,.2170569
"41007020990001001S",410079507001027,20990,1,-123.90952301,46.0134925842,900,"e2c130a3-fd1b-4eb2-87cc-730ab14d5fe5",1,.0152698,.2294492,.5383797,.2169014
"41007020991001001S",410079507001027,20991,1,-123.909500122,46.0134353638,900,"a5dff481-5945-45c0-a2dd-8b7889b14175",1,.0152609,.2293848,.5383844,.21697
"41007020993001001S",410079509001010,20993,1,-123.916526794,46.0131187439,130,"994f085c-a680-4129-b393-4b900ab13ffd",1,.1631509,.4949548,.305662,.0362324
"41007020994001001S",410079509001039,20994,1,-123.915962219,46.0131797791,136,"5e489c2b-d345-4e17-b580-0407f7d21395",1,.0451843,.2645037,.4431959,.2471161
"41007020995001001S",410079509001000,20995,4,-123.912597656,46.0131721497,232,"fd85f0c6-8dd5-46f0-b4a4-d6a00b2af1c1",0,.0456758,.265829,.4430012,.2454939
"41007020997001001S",410079509001002,20997,1,-123.915405273,46.0131835938,130,"cb62f3b6-7d58-432b-8ce3-ac93605c58ba",1,.1637415,.4952428,.3049732,.0360424
"41007020998001001S",410079509001002,20998,1,-123.915016174,46.0131835938,130,"b48eeb4c-8f82-488a-a696-2afc82bef9d3",1,.1639283,.4953332,.3047558,.0359827
"41007021000001001S",410079509001001,21000,1,-123.91456604,46.0131225586,132,"d816d025-b661-4e5d-8ac4-a1223dc741b3",1,.1640756,.4954044,.3045844,.0359356
"41007021001001001S",410079509001001,21001,2,-123.914367676,46.0131149292,140,"0c7d2efe-6068-46bf-8299-d9fa946b5c3b",0,.0333134,.4616891,.4291161,.0758814
"41007021002001001S",410079509001001,21002,1,-123.914070129,46.0131187439,140,"285bebb4-2107-45e9-b353-b4650ab46eda",1,.1643049,.4955148,.3043178,.0358625
"41007021004001001S",410079507001027,21004,1,-123.909439087,46.0133209229,900,"231db9d7-50ad-4135-96ac-15e6d45aa697",1,.0152448,.2292698,.5383929,.2170925
"41007021006001001S",410079509001000,21006,1,-123.913421631,46.0130348206,120,"975fe7d6-a670-4be1-bfcd-99e7156f2e94",1,.1645232,.4956194,.3040643,.0357931
"41007021007001001S",410079509001000,21007,1,-123.913269043,46.0130386353,200,"a62dff64-e3e6-4269-b793-0b4da7437457",1,.1645944,.4956535,.3039816,.0357704
"41007021009001001S",410079509001000,21009,2,-123.913024902,46.0130386353,232,"7151680d-77d3-4d0a-901f-0f90bc44431f",0,.0455675,.265538,.4430449,.2458496
"41007021010001001S",410079509001000,21010,2,-123.912338257,46.0131454468,656,"af393cd6-3871-4851-b944-acecee0bd4a6",0,.0074314,.1666511,.5371345,.2887829
"41007021011001001S",410079509001000,21011,2,-123.912185669,46.0131416321,656,"22febca2-3539-478e-94d6-81534c9b0f78",0,.0074387,.1667344,.5371643,.2886626
"41007021013001001S",410079509001039,21013,1,-123.91595459,46.01304245,130,"d4ca64fb-5a21-4d87-b08a-9f6cd6bc93b0",1,.1633346,.4950447,.3054476,.0361732
"41007021014001001S",410079507001027,21014,1,-123.909416199,46.0132598877,900,"b948bd9b-d046-44db-a6ae-c8285043826a",1,.0152359,.2292053,.5383976,.2171613
"41007021017001001S",410079509001002,21017,1,-123.915016174,46.0130462646,130,"779a6f7c-080c-4642-85c8-eae5b569bdff",1,.1637821,.4952625,.3049259,.0360294
"41007021019001001S",410079507001027,21019,1,-123.910263062,46.0131950378,900,"ee3ee558-76fc-4980-bab7-f896c9052b2e",1,.0151543,.2286186,.5384394,.2177877
"41007021022001001S",410079507001027,21022,1,-123.909385681,46.0131759644,900,"8c3b504b-f6cf-4771-8760-6b9a4697f543",1,.0152228,.2291115,.5384044,.2172613
"41007021025001001S",410079507001027,21025,1,-123.91027832,46.0131340027,900,"570db1d7-4fb0-4c04-9492-55b8367a99ef",1,.0151423,.228532,.5384454,.2178804
"41007021026001001S",410079509001010,21026,1,-123.916549683,46.0129013062,132,"5f1fc784-81bf-4dec-8356-41f2f74ee93d",1,.1629076,.4948353,.3059461,.0363109
"41007021027001001S",410079509001039,21027,1,-123.91595459,46.0128707886,130,"314f3d91-0576-4968-986d-968d4a2d7429",1,.163152,.4949553,.3056607,.036232
"41007021029001001S",410079507001027,21029,1,-123.909370422,46.0131187439,900,"d9b8db4c-8004-47a6-81b3-00b68f2d4869",1,.0152138,.2290469,.5384091,.2173302
"41007021031001001S",410079509001002,21031,1,-123.915016174,46.0129089355,130,"c635913c-0db6-4506-9c60-b54f8d1e5300",1,.1636361,.4951916,.3050961,.0360763
"41007021033001001S",410079507001027,21033,1,-123.91028595,46.0130729675,900,"fdb45843-85c5-40a6-a422-41575b630933",1,.0151303,.2284454,.5384513,.2179731
"41007021034001001S",410079509001001,21034,1,-123.914459229,46.0129127502,132,"fcbb8836-e50e-45bc-9889-9b2e8f87490c",1,.1638982,.4953187,.3047909,.0359923
"41007021035001001S",410079509001001,21035,1,-123.914070129,46.0128479004,133,"8d655497-313e-406a-bfe3-0813f12a7daf",1,.1640128,.4953741,.3046574,.0359556
"41007021038001001S",410079507001001,21038,1,-123.896064758,46.0127220154,499,"e38d8575-7880-4a8c-b6d7-225ab1cf9264",1,.0011447,.0565952,.4031517,.5391085
"41007021041001001S",410079509001000,21041,3,-123.912078857,46.0129547119,656,"10a406d4-6914-451a-bd96-428195000e97",0,.0074231,.1665551,.5371,.2889218
"41007021043001001S",410079507001027,21043,1,-123.909339905,46.0130310059,900,"ab027ce0-270b-46d9-b998-151225a9077f",1,.0152008,.228953,.5384158,.2174304
"41007021045001001S",410079509001010,21045,1,-123.916557312,46.0127601624,137,"8ba3da46-2060-4295-abb5-dc9c634d5b17",1,.0449583,.2638904,.4432825,.2478688
"41007021048001001S",410079509001002,21048,1,-123.915405273,46.0127716064,140,"95be197a-d376-4228-947f-de6694aa4f78",1,.1633033,.4950294,.3054841,.0361832
"41007021049001001S",410079509001000,21049,3,-123.912666321,46.012840271,656,"9e43da1d-2cac-4e00-95c7-f7dd39d8f44a",0,.0073795,.1660525,.5369183,.2896496
"41007021050001001S",410079507001027,21050,1,-123.909317017,46.0129737854,900,"e55fe3bc-2b08-4de6-9086-9ca651157332",1,.0151918,.2288886,.5384204,.2174992
"41007021051001001S",410079509001002,21051,1,-123.915008545,46.0127716064,132,"75b47d93-847d-4875-979a-8a1bdd22f178",1,.1634901,.4951206,.3052662,.0361231
"41007021052001001S",410079509001000,21052,3,-123.912475586,46.012840271,656,"389a9e0f-845a-41b3-803a-6ade1ace44b9",0,.0073892,.1661643,.536959,.2894875
"41007021053001001S",410079507001027,21053,1,-123.909797668,46.0129547119,900,"09c9d8e0-49e5-4c8e-b3a6-8e0ee2bbfdc9",1,.015149,.2285805,.538442,.2178284
"41007021055001001S",410079509001001,21055,1,-123.914459229,46.0127754211,130,"d4161ab4-4d63-4519-a28d-246a42613f8a",1,.1637522,.495248,.3049608,.036039
"41007021056001001S",410079509001000,21056,2,-123.912078857,46.0128631592,656,"d272add5-f5a8-481e-a594-a23b59314afc",0,.0074124,.1664314,.5370556,.2891007
"41007021058001001S",410079509001000,21058,1,-123.913513184,46.0127792358,132,"432efd39-7c42-49f8-b2b2-4d74c01d83ea",1,.1642033,.4954659,.304436,.0358949
"41007021059001001S",410079509001039,21059,1,-123.91595459,46.0126647949,140,"518d809b-02e8-42a6-8497-77639c753d0d",1,.162933,.4948478,.3059164,.0363027
"41007021060001001S",410079509001000,21060,2,-123.913124084,46.0127830505,130,"e5348926-1a0e-42e2-8ffc-ff354002238a",0,.1643918,.4955565,.3042169,.0358348
"41007021061001001S",410079507001027,21061,1,-123.90977478,46.0128974915,900,"6f94f844-e447-4b5f-be0c-ae8183833fc0",1,.0151401,.2285163,.5384464,.2178971
"41007021065001001S",410079507001027,21065,1,-123.909286499,46.0128898621,900,"32f09680-afef-46f8-a1f3-f819ad9a5716",1,.0151789,.2287959,.5384269,.2175982
"41007021066001001S",410079509001010,21066,2,-123.91658783,46.0126266479,141,"81b8c2f6-490a-41fd-b16a-c7346f0dd512",0,.1625946,.4946809,.3063122,.0364124
"41007021067001001S",410079509001000,21067,2,-123.912078857,46.0127716064,657,"0bf104dd-8966-44df-8f08-ccbc7c437ba0",0,.0074017,.1663091,.5370114,.2892778
"41007021068001001S",410079509001002,21068,1,-123.915405273,46.0126342773,144,"dd60f6e6-a255-41bc-903c-23e6ad6d7c6d",1,.1631574,.494958,.3056543,.0362302
"41007021070001001S",410079509001002,21070,1,-123.915008545,46.0126342773,130,"5871b64e-594c-46f3-ac90-075c3c9d1459",1,.1633442,.4950494,.3054364,.0361701
"41007021071001001S",410079507001027,21071,1,-123.909263611,46.0128288269,900,"db0e3fb2-0358-48e7-a26a-08b08736fa0c",1,.01517,.2287316,.5384315,.2176669
"41007021072001001S",410079509001000,21072,2,-123.912567139,46.0126953125,130,"1d3a77a6-54c6-4e3b-a45c-435ce9eba2e3",0,.1645634,.4956387,.3040176,.0357803
"41007021073001001S",410079509001001,21073,1,-123.914459229,46.012638092,130,"da862f08-a532-4f97-91cf-7ba89646955f",1,.1636063,.4951771,.3051307,.0360858
"41007021076001001S",410079509001001,21076,1,-123.9140625,46.0126419067,130,"c48a2d3f-04ae-458e-9ef4-3f1b8897c1ab",1,.163794,.4952682,.3049121,.0360256
"41007021077001001S",410079507001014,21077,1,-123.906539917,46.0125160217,146,"655ee3ee-3dcc-4041-9721-90c9314bafbe",1,.0463706,.2676839,.4427116,.2432339
"41007021078001001S",410079509001000,21078,2,-123.913513184,46.0126419067,136,"bcf69724-5718-4c47-943c-1657a65b5b31",0,.0453635,.2649881,.4431259,.2465225
"41007021080001001S",410079509001000,21080,2,-123.913124084,46.0126457214,130,"9238a371-3aba-43e1-b956-8597196718ad",0,.164246,.4954864,.3043863,.0358812
"41007021081001001S",410079509001000,21081,2,-123.912086487,46.0126876831,656,"b73c3d45-4218-4fd1-b986-e4b3be08793a",0,.0073916,.1661926,.5369692,.2894465
"41007021082001001S",410079507001014,21082,2,-123.904472351,46.0116882324,140,"2bbc13d0-a14e-4ad1-8c98-d60b5827f17b",0,.1674268,.4969745,.3007132,.0348855
"41007021084001001S",410079507001014,21084,1,-123.903869629,46.0116920471,200,"497b41dd-5757-45fb-a79f-5229b6523ba9",1,.0345327,.4669292,.4249425,.0735956
"41007021085001001S",410079509001010,21085,2,-123.916595459,46.0124893188,147,"619e28c7-ccae-4d4c-b033-1ab488379d96",0,.0448639,.2636336,.4433181,.2481844
"41007021086001001S",410079507001014,21086,1,-123.903022766,46.0117950439,200,"985f17c1-ae8c-42c5-9113-9e99ab5dcf98",1,.0347155,.4676987,.4243227,.0732631
"41007021087001001S",410079509001039,21087,1,-123.91595459,46.0124931335,146,"7090e61d-bb80-44dc-ab7b-f76d651f97ee",1,.0449578,.263889,.4432827,.2478705
"41007021089001001S",410079509001002,21089,1,-123.915405273,46.0124969482,136,"7db63cfe-9fe1-4031-a5d5-41b1e7c1e40a",1,.0450387,.2641088,.4432519,.2476006
"41007021090001001S",410079507001014,21090,1,-123.902122498,46.0116920471,130,"4c77e895-9c5c-41be-9867-20e30f586f07",1,.1686,.4975026,.2993703,.0345271
"41007021091001001S",410079509001002,21091,1,-123.915008545,46.0125007629,134,"60833252-d292-4ea8-939b-73100d8a3bb2",1,.1631984,.4949781,.3056065,.036217
"41007021092001001S",410079507001027,21092,1,-123.909217834,46.0126953125,900,"a0e1ba97-376f-4714-9401-de6accf05a92",1,.0151492,.2285817,.538442,.2178272
"41007021093001001S",410079509001000,21093,2,-123.912567139,46.0125350952,130,"5b1b725c-9231-4ef6-9316-1d2ea632b457",0,.1643913,.4955562,.3042175,.035835
"41007021095001001S",410079509001000,21095,2,-123.912086487,46.0125999451,656,"7ba2b413-9590-4772-96eb-5e693d5dfebf",0,.0073815,.1660751,.5369266,.2896168
"41007021096001001S",410079509001001,21096,1,-123.914459229,46.0125007629,130,"70609492-d712-48ec-ad92-583066c1b9b8",1,.1634606,.4951062,.3053007,.0361326
"41007021097001001S",410079509001001,21097,1,-123.9140625,46.0125045776,130,"0a30f6e5-7181-43af-8cb2-8ed484dce36e",1,.1636482,.4951975,.3050819,.0360724
"41007021098001001S",410079509001000,21098,1,-123.913513184,46.0124931335,130,"40b6c81c-3af6-481f-b45b-61651d7375cc",1,.1638971,.4953181,.3047921,.0359926
"41007021099001001S",410079509001000,21099,1,-123.913116455,46.0124931335,130,"0cf5900c-da0a-4c44-8338-992f36e47222",1,.1640857,.4954093,.3045727,.0359324
"41007021102001001S",410079507001027,21102,1,-123.909202576,46.0126342773,900,"7be2e15b-810c-40af-8dd0-67addb03b63a",1,.0151396,.2285124,.5384467,.2179014
"41007021104001001S",410079509001000,21104,2,-123.912086487,46.0125007629,656,"71b71066-9747-4fe1-a1d7-1821128ecb72",0,.0073702,.1659451,.5368792,.2898054
"41007021105001001S",410079507001032,21105,14,-123.910423279,46.0121002197,490,"fd0e68f2-8a0f-4b85-b878-190d58de9cf0",0,.0074102,.1664063,.5370465,.2891371
"41007021106001001S",410079509001002,21106,1,-123.915397644,46.0123596191,136,"039ce4f6-e8c1-4abe-81d8-a4176eb320b5",1,.0449935,.2639861,.4432691,.2477513
"41007021108001001S",410079509001002,21108,2,-123.915008545,46.0123634338,141,"afe2dbce-2182-40df-bd16-0c5849e9c742",0,.1630527,.4949066,.3057766,.036264
"41007021109001001S",410079509001001,21109,1,-123.914459229,46.0123634338,140,"0629b871-0df0-4ab8-92a8-97096c583412",1,.1633149,.4950351,.3054706,.0361795
"41007021110001001S",410079509001001,21110,1,-123.9140625,46.0123672485,199,"cee91dbb-83df-4ab3-a74b-90abf6b1a55c",1,.0071043,.214395,.494409,.2840917
"41007021112001001S",410079509001000,21112,2,-123.912567139,46.0123062134,130,"88ae2ba2-55ad-4787-868f-c943dc168871",0,.1641465,.4954385,.304502,.035913
"41007021113001001S",410079509001009,21113,1,-123.916748047,46.012172699,146,"8326e004-43fa-43fb-81f8-9c5673969da3",1,.044737,.2632876,.4433654,.24861
"41007021114001001S",410079509001000,21114,2,-123.913574219,46.0122871399,130,"b4f12b0f-d628-47b9-ab1a-1e2de1ad0cfd",0,.1636472,.495197,.3050831,.0360727
"41007021115001001S",410079509001000,21115,2,-123.912078857,46.0123062134,140,"11a094b1-fe6a-453e-843f-f033a36cd68f",0,.1643803,.495551,.3042302,.0358385
"41007021116001001S",410079509001000,21116,2,-123.913314819,46.0122871399,130,"5124781f-f042-4ab9-bbf8-ee0a33aa2bb4",0,.1637729,.495258,.3049367,.0360324
"41007021117001001S",410079509001009,21117,1,-123.916343689,46.0121803284,140,"918cdf34-e067-4575-9b46-ca0b7b881a6a",1,.1622309,.4945004,.306738,.0365307
